ticket_id,title,category_reported,domain,priority,severity,status,created_at,resolved_at,description,symptoms,impact,service_component,environment,technology_stack,root_cause,resolution_steps,runbook_available,runbook_used,manual_intervention,true_category,predicted_category,confidence_score,resolution_time_minutes
INC-1152,Node not ready in cluster,Incident,Infrastructure / Cloud Issues,P3,Medium,Resolved,2025-08-19 16:51:00,2025-08-22 12:51:00,"Kubernetes node showing NotReady, pods being evicted. Affecting multiple users.",kubectl shows node in NotReady state. Pods evicted and rescheduled causing brief downtime.,"30% capacity reduction, some pods pending for 15 minutes.",Celery Workers,Production,"Ansible, Linux",Kubelet ran out of memory due to log file accumulation on node.,1. Drained node. 2. Cleared logs. 3. Restarted kubelet. 4. Uncordoned.,False,False,True,Incident,Incident,0.74,4080
INC-1153,Rare data inconsistency,Bug,Misc / Edge / New Issues,P3,Medium,Resolved,2025-08-19 09:32:00,2025-08-21 03:32:00,"Hey team, Single record showing duplicate entry in user-facing table.",Single record showing duplicate entry in user-facing table. Cannot reproduce consistently.,Data integrity concern for one customer record.,Webhook Handler,Production,React,Race condition in concurrent write path under very specific timing.,1. Fixed duplicate manually. 2. Added unique constraint. 3. Reviewed concurrent write paths.,False,False,False,Bug,Bug,0.98,2520
INC-1154,Role misconfiguration,Improvement / Task,Authentication / Authorization Issues,P1,Critical,Resolved,2025-11-29 00:06:00,2025-12-01 07:06:00,Getting complaints that Admin users getting 403 Forbidden on billing portal.,Admin users getting 403 Forbidden on billing portal. Role shown as correct in DB.,Finance team blocked from critical workflows.,IAM Module,Staging,"Node.js, JWT",Accidental deletion of role-to-permission mapping during migration cleanup script.,1. Restored mapping from DB backup. 2. Cleared permission cache. 3. Verified admin access.,True,True,True,Incident,Improvement / Task,0.67,3300
INC-1155,Refactor authentication middleware,Improvement / Task,Application / Backend Issues,P3,Medium,Resolved,2025-11-21 04:13:00,2025-11-22 21:13:00,Raising this for tracking: Auth logic is duplicated across 7 views. Code review flagged this as a maintenance and security risk.,Code review flagged auth logic duplicated across 7 views.,Technical debt increasing risk of auth bypass in future changes.,Checkout Service,Staging,"Go, Gin",Auth logic was copy-pasted during rapid feature development phase.,1. Extracted to reusable middleware. 2. Wrote unit tests. 3. Deployed incrementally.,False,False,False,Improvement / Task,Improvement / Task,0.76,2460
INC-1156,Add MFA to admin portal,Improvement / Task,Authentication / Authorization Issues,P2,Medium,Closed,2026-01-17 02:32:00,2026-01-18 05:32:00,Security review flagged admin portal as accessible with password only. MFA needs to be enforced. Please look into this.,Security review flagged admin portal accessible with password only.,Single factor auth on high-privilege accounts is a critical risk.,IAM Module,Production,"OAuth2, Python",MFA was descoped during initial launch and never revisited.,1. Integrated TOTP via auth service. 2. Enforced for admin role. 3. Enrolled all admins.,False,False,False,Improvement / Task,Improvement / Task,0.96,1620
INC-1157,Duplicate alerts firing,Bug,Monitoring / Alert Noise,P2,High,Closed,2025-08-01 09:32:00,2025-08-04 15:32:00,FYI - Receiving 50+ PagerDuty pages for the same event within 2 minutes. Any ideas?,Receiving 50+ PagerDuty pages for the same CPU spike event within 2 minutes.,"On-call engineer overwhelmed, real alerts buried in noise.",Alertmanager,Production,"Datadog, PagerDuty",Alertmanager group_wait and group_interval misconfigured after config refactor.,1. Updated group_wait=30s and group_interval=5m. 2. Reloaded config. 3. Tested with firing rule.,False,False,False,Incident,Bug,0.65,4680
INC-1158,Database migration failed,Bug,Database Issues,P2,High,Closed,2025-12-03 10:31:00,2025-12-05 18:31:00,"Urgent: Deploy pipeline failed at migration step, schema in inconsistent state.",Deploy pipeline failed at migration step. Service rolled back but DB partially migrated.,"Inconsistent schema state, one feature broken until fixed.",User DB,Production,"PostgreSQL, Flyway",Non-transactional DDL statement (adding index) inside transaction block.,1. Ran compensating migration manually. 2. Verified schema. 3. Fixed migration script.,False,False,False,Bug,Bug,0.78,3360
INC-1159,Deadlock errors in transaction logs,Incident,Database Issues,P2,High,Closed,2025-09-22 10:11:00,2025-09-25 18:11:00,CRITICAL: Intermittent deadlock exceptions in order processing every 2 hours.,Intermittent deadlock exceptions in order processing service every ~2 hours.,Approximately 0.5% of orders failing and requiring manual retry.,Inventory DB,Staging,Redis,Two services acquiring locks on orders and inventory tables in opposite order.,1. Identified lock order from pg_locks. 2. Standardised lock acquisition order. 3. Deployed.,True,False,True,Incident,Incident,0.88,4800
INC-1160,One-off job failure,Bug,Misc / Edge / New Issues,P2,High,In Progress,2025-08-25 09:09:00,,"Nightly report generation failed once at 3 AM, no recurrence. Please look into this.",Nightly report generation failed once at 3 AM. No recurrence.,"Finance team missing one daily report, manually regenerated.",Scheduler,Staging,"Celery, Redis",Pending investigation,Pending investigation,False,False,False,Bug,Bug,0.73,
INC-1161,TLS certificate expired,Incident,Network / Connectivity Issues,P3,Medium,Closed,2025-09-09 09:16:00,2025-09-13 10:16:00,"Browser showing certificate error, all HTTPS traffic failing. It was working fine yesterday.",Browser showing certificate error on main domain. API clients failing SSL handshake.,"All external traffic failing, complete customer-facing outage.",CoreDNS,Staging,Cloudflare,cert-manager failed to renew certificate due to DNS challenge timeout.,1. Manually renewed via Let's Encrypt. 2. Fixed DNS challenge config. 3. Verified cert-manager auto-renew.,True,True,False,Bug,Incident,0.59,5820
INC-1162,Token expiration issue,Bug,Authentication / Authorization Issues,P3,Low,Resolved,2025-10-16 15:25:00,2025-10-18 15:25:00,Users getting randomly logged out mid-session. It was working fine yesterday.,Users getting randomly logged out mid-session. JWT validation failing for valid tokens.,"All users affected, session stability broken platform-wide.",Session Store,Production,"Node.js, JWT",JWT signing key rotation job ran but new key not propagated to all auth pods.,1. Identified key mismatch in logs. 2. Restarted auth pods with correct key. 3. Forced re-login.,True,True,False,Bug,Bug,0.74,2880
INC-1163,API returning 500s,Incident,Application / Backend Issues,P2,Medium,Closed,2025-11-18 12:17:00,2025-11-19 16:17:00,Urgent: Checkout API is failing with 500 Internal Server Error.,"Spike in 500 status codes, logs show NullPointerException in payment module.",Users cannot complete checkout (approx 200 users affected).,Frontend Webapp,Production,"React, Node.js",Unhandled null value in payment payload from third-party provider.,1. Added null check. 2. Deployed hotfix. 3. Monitored error rates.,True,False,True,Incident,Incident,0.83,1680
INC-1164,Refactor authentication middleware,Improvement / Task,Application / Backend Issues,P3,Low,Resolved,2025-11-30 00:30:00,2025-11-30 16:30:00,Auth logic is duplicated across 7 views. Code review flagged this as a maintenance and security risk.,Code review flagged auth logic duplicated across 7 views.,Technical debt increasing risk of auth bypass in future changes.,Analytics API,Production,"Go, Gin",Auth logic was copy-pasted during rapid feature development phase.,1. Extracted to reusable middleware. 2. Wrote unit tests. 3. Deployed incrementally.,False,False,False,Improvement / Task,Improvement / Task,0.74,960
INC-1165,Slow query degrading API response,Bug,Application / Backend Issues,P2,Medium,In Progress,2025-10-08 03:53:00,,Customer reported: Orders endpoint latency spiked from 200ms to 8 seconds.,P99 latency spiking from 200ms to 8s on /orders endpoint.,Order confirmation page timing out for ~15% of users.,Checkout Service,Production,"Python, Django",Pending investigation,Pending investigation,True,False,False,Bug,Bug,0.7,
INC-1166,Pod crash looping,Bug,Infrastructure / Cloud Issues,P3,Low,Resolved,2025-11-26 20:29:00,2025-11-29 14:29:00,"Payment service pods in CrashLoopBackOff, restarting every 30s. It was working fine yesterday.",CrashLoopBackOff on payment-service pods. Restarts every 30 seconds.,"Payment service fully down, all transactions failing.",Load Balancer,Production,"Elasticsearch, Linux",Missing environment variable after config map was accidentally deleted.,1. Checked pod logs. 2. Restored config map from git. 3. Pods stabilised.,False,False,False,Bug,Bug,0.75,3960
INC-1167,Add rate limiting to public API,Improvement / Task,Application / Backend Issues,P3,Low,Resolved,2025-10-01 13:27:00,2025-10-01 23:27:00,Public API has no rate limiting. Identified during capacity planning — need to implement before launch. Please look into this.,"No immediate symptoms, identified during capacity planning review.",Risk of API abuse if not addressed before product launch.,Order API,Production,"Python, Django",Rate limiting was never implemented on public-facing endpoints.,1. Evaluated django-ratelimit. 2. Implemented per-IP throttle. 3. Tested with load script.,False,False,False,Improvement / Task,Improvement / Task,0.83,600
INC-1168,SSO login loop,Bug,Authentication / Authorization Issues,P2,Medium,Resolved,2026-01-14 22:56:00,2026-01-17 08:56:00,FYI - Users redirected in infinite loop between app and SSO provider.,Users redirected in infinite loop between app and SSO provider. Never lands on dashboard.,"All SSO-based logins broken, affecting 80% of user base.",IAM Module,Production,"OAuth2, Python",Redirect URI mismatch after domain change not updated in SSO provider config.,1. Updated redirect URI in Keycloak. 2. Cleared browser cookies. 3. Verified login flow.,False,False,True,Bug,Bug,0.87,3480
INC-1169,OAuth token refresh broken,Bug,Authentication / Authorization Issues,P3,Low,In Progress,2026-01-12 18:50:00,,"API clients getting 401 after 1 hour, refresh token invalid. It was working fine yesterday.",API clients getting 401 after 1 hour. Refresh token call returns invalid_grant.,All API integrations failing after initial token expires.,Session Store,Production,"Redis, Node.js",Pending investigation,Pending investigation,False,False,True,Bug,Bug,0.84,
INC-1170,Duplicate alerts firing,Bug,Monitoring / Alert Noise,P3,Medium,Resolved,2025-08-25 21:40:00,2025-08-26 06:40:00,Receiving 50+ PagerDuty pages for the same event within 2 minutes. Need a fix ASAP.,Receiving 50+ PagerDuty pages for the same CPU spike event within 2 minutes.,"On-call engineer overwhelmed, real alerts buried in noise.",Datadog,Staging,"Datadog, PagerDuty",Alertmanager group_wait and group_interval misconfigured after config refactor.,1. Updated group_wait=30s and group_interval=5m. 2. Reloaded config. 3. Tested with firing rule.,False,False,False,Bug,Bug,0.74,540
INC-1171,Deployment rollback needed,Bug,CI/CD & Deployment Issues,P3,Low,Resolved,2025-09-21 21:58:00,2025-09-24 14:58:00,Error rate spiked to 15% within 5 minutes of deployment. Need a fix ASAP.,Error rate spiked to 15% within 5 minutes of deployment. Latency tripled.,"Significant user-facing degradation, revenue-impacting.",Jenkins,Production,"Jenkins, GitHub Actions",Breaking API change in new release not caught by test suite.,1. Rolled back via ArgoCD. 2. Error rate normalised. 3. Added integration test for API contract.,True,True,False,Bug,Bug,0.9,3900
INC-1172,Implement mTLS across service mesh,Improvement / Task,Network / Connectivity Issues,P3,Low,In Progress,2025-11-19 03:23:00,,Raising this for tracking: Security audit found internal service-to-service traffic is unencrypted. mTLS needs to be enforced.,Security audit found internal service-to-service traffic unencrypted.,Risk of lateral movement if network is compromised.,VPN Gateway,Production,Kubernetes,Pending investigation,Pending investigation,False,False,False,Improvement / Task,Improvement / Task,0.93,
INC-1173,Slow query degrading API response,Incident,Application / Backend Issues,P1,High,Resolved,2025-12-18 08:18:00,2025-12-20 04:18:00,Getting complaints that Orders endpoint latency spiked from 200ms to 8 seconds.,P99 latency spiking from 200ms to 8s on /orders endpoint.,Order confirmation page timing out for ~15% of users.,Order API,Production,"React, Node.js",Missing index on orders.created_at column after schema migration.,1. Ran EXPLAIN ANALYZE. 2. Added index concurrently. 3. Verified latency drop.,True,False,True,Incident,Incident,0.76,2640
INC-1174,Deployment rollback needed,Bug,CI/CD & Deployment Issues,P3,Low,Closed,2025-09-26 01:07:00,2025-09-26 22:07:00,"Hey team, Error rate spiked to 15% within 5 minutes of deployment.",Error rate spiked to 15% within 5 minutes of deployment. Latency tripled.,"Significant user-facing degradation, revenue-impacting.",GitHub Actions Runner,Production,"Docker, AWS ECR",Breaking API change in new release not caught by test suite.,1. Rolled back via ArgoCD. 2. Error rate normalised. 3. Added integration test for API contract.,True,True,False,Bug,Bug,0.93,1260
INC-1175,Deployment rollback needed,Incident,CI/CD & Deployment Issues,P1,High,Resolved,2025-12-19 19:54:00,2025-12-21 08:54:00,Error rate spiked to 15% within 5 minutes of deployment. Need a fix ASAP.,Error rate spiked to 15% within 5 minutes of deployment. Latency tripled.,"Significant user-facing degradation, revenue-impacting.",CI/CD Pipeline,Production,"Jenkins, GitHub Actions",Breaking API change in new release not caught by test suite.,1. Rolled back via ArgoCD. 2. Error rate normalised. 3. Added integration test for API contract.,True,True,False,Incident,Incident,0.77,2220
INC-1176,Replication lag spike,Improvement / Task,Database Issues,P2,Medium,Resolved,2026-01-05 21:41:00,2026-01-06 20:41:00,FYI - Read replica falling 45 minutes behind primary. Any ideas?,Read replica falling 45 minutes behind primary. Analytics queries returning stale data.,"Reporting dashboards showing incorrect figures, business decisions affected.",User DB,Staging,MySQL,Long-running migration on primary blocked replication slot.,1. Cancelled migration. 2. Rescheduled for off-peak. 3. Monitored lag until recovered.,False,False,True,Incident,Improvement / Task,0.72,1380
INC-1177,Add rate limiting to public API,Improvement / Task,Application / Backend Issues,P3,Medium,In Progress,2026-01-06 21:54:00,,"Hey team, Public API has no rate limiting. Identified during capacity planning — need to implement before launch.","No immediate symptoms, identified during capacity planning review.",Risk of API abuse if not addressed before product launch.,Checkout Service,Production,"React, Node.js",Pending investigation,Pending investigation,False,False,True,Improvement / Task,Improvement / Task,0.8,
INC-1178,Node not ready in cluster,Bug,Infrastructure / Cloud Issues,P3,Medium,In Progress,2025-11-28 15:07:00,,"Kubernetes node showing NotReady, pods being evicted.",kubectl shows node in NotReady state. Pods evicted and rescheduled causing brief downtime.,"30% capacity reduction, some pods pending for 15 minutes.",Celery Workers,Staging,"AWS EC2, Python",Pending investigation,Pending investigation,True,True,False,Bug,Bug,0.9,
INC-1179,Slow query degrading API response,Bug,Application / Backend Issues,P2,Medium,Resolved,2026-01-28 09:54:00,2026-01-30 08:54:00,Orders endpoint latency spiked from 200ms to 8 seconds. Affecting multiple users.,P99 latency spiking from 200ms to 8s on /orders endpoint.,Order confirmation page timing out for ~15% of users.,Frontend Webapp,Production,"Java, Spring Boot",Missing index on orders.created_at column after schema migration.,1. Ran EXPLAIN ANALYZE. 2. Added index concurrently. 3. Verified latency drop.,False,False,True,Incident,Bug,0.73,2820
INC-1180,Node not ready in cluster,Incident,Infrastructure / Cloud Issues,P3,Medium,Resolved,2025-09-18 04:50:00,2025-09-20 02:50:00,"Kubernetes node showing NotReady, pods being evicted.",kubectl shows node in NotReady state. Pods evicted and rescheduled causing brief downtime.,"30% capacity reduction, some pods pending for 15 minutes.",S3 Buckets,Production,"AWS EC2, Python",Kubelet ran out of memory due to log file accumulation on node.,1. Drained node. 2. Cleared logs. 3. Restarted kubelet. 4. Uncordoned.,True,True,False,Incident,Incident,0.75,2760
INC-1181,Memory leak in backend service,Bug,Application / Backend Issues,P1,Critical,Resolved,2025-11-04 15:47:00,2025-11-05 06:47:00,"Urgent: Backend service memory growing unboundedly, pods restarting.","RSS memory growing unboundedly, OOM killer terminating pods every 6 hours.",Service restarts causing 2-3 min downtime every 6 hours for all users.,Notification Service,Production,"Java, Spring Boot",Celery worker holding reference to large object after task completion.,1. Identified object with memory profiler. 2. Added explicit del. 3. Redeployed.,False,False,False,Bug,Bug,0.73,900
INC-1182,DNS resolution failing,Incident,Network / Connectivity Issues,P2,High,Resolved,2025-12-11 21:07:00,2025-12-13 19:07:00,Services cannot resolve internal and external domains intermittently. Affecting multiple users.,Services intermittently failing to resolve internal and external domains.,Cascading failures across 4 services depending on external APIs.,API Gateway,Staging,Kubernetes,CoreDNS pods overwhelmed by DNS flood from misconfigured ndots setting.,1. Scaled CoreDNS replicas from 2 to 5. 2. Added ndots:1 to pod DNS config. 3. Verified resolution.,False,False,True,Incident,Incident,0.8,2760
INC-1183,Autovacuum not keeping up,Incident,Database Issues,P3,Medium,Closed,2025-12-30 15:22:00,2026-01-04 06:22:00,"Table bloat increasing, query times gradually degrading. Affecting multiple users.","Table bloat increasing, query times gradually degrading over 2 weeks.",Slow degradation of query performance across reporting module.,Inventory DB,Production,MySQL,Autovacuum cost delay too high for write-heavy reporting table.,1. Ran manual VACUUM ANALYZE. 2. Tuned autovacuum_cost_delay. 3. Monitored bloat.,False,False,False,Incident,Incident,0.95,6660
INC-1184,Token expiration issue,Incident,Authentication / Authorization Issues,P2,Medium,Resolved,2025-09-17 10:11:00,2025-09-18 18:11:00,Users getting randomly logged out mid-session. Need a fix ASAP.,Users getting randomly logged out mid-session. JWT validation failing for valid tokens.,"All users affected, session stability broken platform-wide.",SSO Gateway,Production,"Redis, Node.js",JWT signing key rotation job ran but new key not propagated to all auth pods.,1. Identified key mismatch in logs. 2. Restarted auth pods with correct key. 3. Forced re-login.,True,False,True,Incident,Incident,0.77,1920
INC-1185,Alert not firing for real outage,Incident,Monitoring / Alert Noise,P3,Low,In Progress,2025-08-22 10:41:00,,Customer reported: Service was down for 12 minutes before anyone noticed.,Service was down for 12 minutes before anyone noticed. No alert fired.,Delayed detection significantly worsened incident impact.,Grafana,Production,"Grafana, Loki",Pending investigation,Pending investigation,False,False,True,Incident,Incident,0.91,
INC-1186,Connection pool exhausted,Incident,Database Issues,P3,Medium,Resolved,2025-10-08 23:04:00,2025-10-10 13:04:00,"FYI - Apps cannot connect to DB, throwing pool errors. Any ideas?",Apps throwing 'connection pool exhausted'. DB CPU normal but no connections available.,"All DB-dependent services failing, complete platform outage.",User DB,Production,"PostgreSQL, PgBouncer",Microservice leaking connections by not closing cursors in exception path.,1. Killed idle connections via pg_terminate_backend. 2. Restarted offending service. 3. Fixed cursor handling.,True,True,False,Incident,Incident,0.86,2280
INC-1187,Autovacuum not keeping up,Incident,Database Issues,P3,Medium,Closed,2025-11-21 09:52:00,2025-11-23 13:52:00,"Hey team, Table bloat increasing, query times gradually degrading.","Table bloat increasing, query times gradually degrading over 2 weeks.",Slow degradation of query performance across reporting module.,Inventory DB,Production,"PostgreSQL, PgBouncer",Autovacuum cost delay too high for write-heavy reporting table.,1. Ran manual VACUUM ANALYZE. 2. Tuned autovacuum_cost_delay. 3. Monitored bloat.,False,False,False,Bug,Incident,0.7,3120
INC-1188,Rare data inconsistency,Bug,Misc / Edge / New Issues,P2,Medium,Resolved,2025-12-31 19:33:00,2026-01-01 01:33:00,Single record showing duplicate entry in user-facing table. Please look into this.,Single record showing duplicate entry in user-facing table. Cannot reproduce consistently.,Data integrity concern for one customer record.,Webhook Handler,Production,"Airflow, Python",Race condition in concurrent write path under very specific timing.,1. Fixed duplicate manually. 2. Added unique constraint. 3. Reviewed concurrent write paths.,True,False,False,Bug,Bug,0.85,360
INC-1189,Intermittent packet loss,Bug,Network / Connectivity Issues,P2,Medium,Closed,2025-12-30 00:45:00,2025-12-31 02:45:00,"2-5% ping loss between nodes, TCP retransmits elevated. Need a fix ASAP.",Ping loss between nodes 2-5% intermittently. TCP retransmits elevated.,"Degraded performance for all real-time features, chat and notifications affected.",Load Balancer,Production,"WireGuard, Linux",Faulty NIC on one hypervisor host causing CRC errors.,1. Identified host with mtr. 2. Migrated VMs. 3. Raised ticket with data centre.,False,False,False,Bug,Bug,0.96,1560
INC-1190,Pod crash looping,Incident,Infrastructure / Cloud Issues,P2,High,In Progress,2026-01-12 11:55:00,,"Payment service pods in CrashLoopBackOff, restarting every 30s. Need a fix ASAP.",CrashLoopBackOff on payment-service pods. Restarts every 30 seconds.,"Payment service fully down, all transactions failing.",S3 Buckets,Production,"Kubernetes, Docker",Pending investigation,Pending investigation,True,True,True,Incident,Incident,0.81,
INC-1191,Background job not running,Improvement / Task,Application / Backend Issues,P2,Medium,Resolved,2025-08-13 16:31:00,2025-08-15 20:31:00,"Hey team, Nightly report emails not being sent.",Nightly report emails not sent. Celery beat logs show task queued but never picked up.,Finance team missing daily summary reports.,Notification Service,Production,"Python, FastAPI",Redis connection pool exhausted; beat scheduler silently skipping tasks.,1. Restarted Redis. 2. Increased max connections. 3. Added alerting on queue depth.,False,False,True,Incident,Improvement / Task,0.65,3120
INC-1192,Deployment rollback needed,Incident,CI/CD & Deployment Issues,P3,Low,Resolved,2025-10-12 12:33:00,2025-10-13 06:33:00,Error rate spiked to 15% within 5 minutes of deployment. Need a fix ASAP.,Error rate spiked to 15% within 5 minutes of deployment. Latency tripled.,"Significant user-facing degradation, revenue-impacting.",ArgoCD,Staging,"ArgoCD, Kustomize",Breaking API change in new release not caught by test suite.,1. Rolled back via ArgoCD. 2. Error rate normalised. 3. Added integration test for API contract.,True,True,True,Incident,Incident,0.83,1080
INC-1193,Automate log rotation configuration,Improvement / Task,Infrastructure / Cloud Issues,P3,Low,Closed,2025-11-09 01:19:00,2025-11-13 07:19:00,Action item from last retro: Post-incident review flagged manual log rotation as a recurring operational risk across all nodes.,Post-incident review revealed manual log rotation as recurring risk.,Recurring risk of disk full incidents across all logging nodes.,Kubernetes Cluster,Production,"Ansible, Linux",No standardised log rotation policy enforced via configuration management.,1. Added logrotate config to Ansible playbook. 2. Applied across fleet. 3. Tested.,False,False,False,Improvement / Task,Improvement / Task,0.75,6120
INC-1194,TLS certificate expired,Incident,Network / Connectivity Issues,P3,Low,Resolved,2026-01-06 02:17:00,2026-01-08 07:17:00,"Browser showing certificate error, all HTTPS traffic failing. Please look into this.",Browser showing certificate error on main domain. API clients failing SSL handshake.,"All external traffic failing, complete customer-facing outage.",Internal Mesh,Production,"WireGuard, Linux",cert-manager failed to renew certificate due to DNS challenge timeout.,1. Manually renewed via Let's Encrypt. 2. Fixed DNS challenge config. 3. Verified cert-manager auto-renew.,True,True,False,Bug,Incident,0.74,3180
INC-1195,OAuth token refresh broken,Incident,Authentication / Authorization Issues,P3,Low,Resolved,2026-01-24 15:55:00,2026-01-26 18:55:00,"CRITICAL: API clients getting 401 after 1 hour, refresh token invalid.",API clients getting 401 after 1 hour. Refresh token call returns invalid_grant.,All API integrations failing after initial token expires.,SSO Gateway,Production,"OAuth2, Python",Refresh token invalidated on any login event due to misconfigured session policy.,1. Identified session policy setting. 2. Disabled rotate-on-login. 3. Reissued tokens.,False,False,True,Incident,Incident,0.97,3060
INC-1196,Deadlock errors in transaction logs,Incident,Database Issues,P1,High,Resolved,2025-11-17 04:25:00,2025-11-20 03:25:00,FYI - Intermittent deadlock exceptions in order processing every 2 hours. Any ideas?,Intermittent deadlock exceptions in order processing service every ~2 hours.,Approximately 0.5% of orders failing and requiring manual retry.,Main DB,Staging,"MongoDB, Python",Two services acquiring locks on orders and inventory tables in opposite order.,1. Identified lock order from pg_locks. 2. Standardised lock acquisition order. 3. Deployed.,False,False,False,Incident,Incident,0.7,4260
INC-1197,Service unreachable,Incident,Network / Connectivity Issues,P3,Low,Resolved,2025-11-24 22:43:00,2025-11-27 19:43:00,"Auth service cannot reach User service, connection refused. Need a fix ASAP.",Auth service cannot reach User service. Connection refused on port 8080.,Login broken for all users.,CoreDNS,Staging,"WireGuard, Linux",NetworkPolicy accidentally blocking inter-service traffic after namespace migration.,1. Identified with kubectl describe netpol. 2. Reverted policy YAML. 3. Verified connectivity.,False,False,True,Incident,Incident,0.73,4140
INC-1198,Pod crash looping,Bug,Infrastructure / Cloud Issues,P2,High,Resolved,2025-11-30 11:31:00,2025-12-02 03:31:00,"Payment service pods in CrashLoopBackOff, restarting every 30s.",CrashLoopBackOff on payment-service pods. Restarts every 30 seconds.,"Payment service fully down, all transactions failing.",Celery Workers,Production,"Terraform, AWS",Missing environment variable after config map was accidentally deleted.,1. Checked pod logs. 2. Restored config map from git. 3. Pods stabilised.,True,True,False,Bug,Bug,0.91,2400
INC-1199,Node not ready in cluster,Bug,Infrastructure / Cloud Issues,P3,Low,Resolved,2026-01-10 23:03:00,2026-01-11 22:03:00,"Kubernetes node showing NotReady, pods being evicted. Need a fix ASAP.",kubectl shows node in NotReady state. Pods evicted and rescheduled causing brief downtime.,"30% capacity reduction, some pods pending for 15 minutes.",S3 Buckets,Staging,"Elasticsearch, Linux",Kubelet ran out of memory due to log file accumulation on node.,1. Drained node. 2. Cleared logs. 3. Restarted kubelet. 4. Uncordoned.,True,False,True,Bug,Bug,0.75,1380
INC-1200,Add rate limiting to public API,Improvement / Task,Application / Backend Issues,P3,Medium,Resolved,2025-08-24 18:59:00,2025-08-26 05:59:00,Action item from last retro: Public API has no rate limiting. Identified during capacity planning — need to implement before launch.,"No immediate symptoms, identified during capacity planning review.",Risk of API abuse if not addressed before product launch.,Checkout Service,Production,"Python, FastAPI",Rate limiting was never implemented on public-facing endpoints.,1. Evaluated django-ratelimit. 2. Implemented per-IP throttle. 3. Tested with load script.,False,False,False,Improvement / Task,Improvement / Task,0.83,2100
INC-1201,Disk full on logging server,Bug,Infrastructure / Cloud Issues,P3,Medium,Closed,2025-10-29 00:31:00,2025-11-01 10:31:00,"Unable to write logs, getting No Space Left on Device. It was working fine yesterday.","Unable to write logs, getting 'No Space Left on Device'. Elasticsearch unresponsive.","All log ingestion stopped, monitoring blind for duration of incident.",Kubernetes Cluster,Production,"AWS EC2, Python",Log rotation cron job failed silently due to permission change after OS upgrade.,1. Manually deleted old indices. 2. Fixed cron permissions. 3. Set up disk usage alert.,True,False,False,Bug,Bug,0.89,4920
INC-1202,SSO login loop,Incident,Authentication / Authorization Issues,P3,Low,In Progress,2025-12-09 10:13:00,,Customer reported: Users redirected in infinite loop between app and SSO provider.,Users redirected in infinite loop between app and SSO provider. Never lands on dashboard.,"All SSO-based logins broken, affecting 80% of user base.",Auth Service,Staging,"LDAP, Active Directory",Pending investigation,Pending investigation,False,False,True,Incident,Incident,0.89,
INC-1203,Autovacuum not keeping up,Incident,Database Issues,P2,Medium,Resolved,2025-10-13 17:46:00,2025-10-15 15:46:00,"Getting complaints that Table bloat increasing, query times gradually degrading.","Table bloat increasing, query times gradually degrading over 2 weeks.",Slow degradation of query performance across reporting module.,Inventory DB,Staging,Redis,Autovacuum cost delay too high for write-heavy reporting table.,1. Ran manual VACUUM ANALYZE. 2. Tuned autovacuum_cost_delay. 3. Monitored bloat.,True,True,True,Incident,Incident,0.88,2760
INC-1204,Role misconfiguration,Bug,Authentication / Authorization Issues,P3,Low,Resolved,2025-10-24 16:58:00,2025-10-24 19:58:00,"Hey team, Admin users getting 403 Forbidden on billing portal.",Admin users getting 403 Forbidden on billing portal. Role shown as correct in DB.,Finance team blocked from critical workflows.,IAM Module,Production,"LDAP, Active Directory",Accidental deletion of role-to-permission mapping during migration cleanup script.,1. Restored mapping from DB backup. 2. Cleared permission cache. 3. Verified admin access.,True,True,False,Bug,Bug,0.75,180
INC-1205,Grafana dashboard showing no data,Incident,Monitoring / Alert Noise,P3,Low,Closed,2025-08-29 00:42:00,2025-08-31 17:42:00,FYI - All Grafana panels showing No Data despite metrics being present. Any ideas?,All panels in production dashboard showing No Data. Metrics visible in Prometheus UI.,Operations team blind to production health.,PagerDuty,Staging,"Datadog, PagerDuty",Grafana datasource URL changed after Prometheus pod rescheduled to new IP.,1. Updated datasource URL to use service DNS instead of pod IP. 2. Verified panels.,False,False,True,Incident,Incident,0.74,3900
INC-1206,Token expiration issue,Bug,Authentication / Authorization Issues,P3,Low,Closed,2025-08-18 00:24:00,2025-08-18 17:24:00,Users getting randomly logged out mid-session.,Users getting randomly logged out mid-session. JWT validation failing for valid tokens.,"All users affected, session stability broken platform-wide.",IAM Module,Staging,"Node.js, JWT",JWT signing key rotation job ran but new key not propagated to all auth pods.,1. Identified key mismatch in logs. 2. Restarted auth pods with correct key. 3. Forced re-login.,True,True,True,Bug,Bug,0.74,1020
INC-1207,Background job not running,Incident,Application / Backend Issues,P3,Low,Resolved,2025-09-17 16:05:00,2025-09-18 04:05:00,FYI - Nightly report emails not being sent. Any ideas?,Nightly report emails not sent. Celery beat logs show task queued but never picked up.,Finance team missing daily summary reports.,Reporting Job,Production,"Java, Spring Boot",Redis connection pool exhausted; beat scheduler silently skipping tasks.,1. Restarted Redis. 2. Increased max connections. 3. Added alerting on queue depth.,False,False,False,Incident,Incident,0.78,720
